Proč má náš kolega Petr rád open source?;Odkud mezi nás přišel Kája?;Kterou práci Vláďa nedělal, než přišel do Red Hatu?;Proč se Jirkovi líbí v Red Hatu?;Proč Štefana baví být dokumentátorem?;Co myslíte, že Petr právě dělá?;Jakou práci dělal Lukáš před Red Hatem?;Proč Milan pracuje v Red Hatu?;Proč začal Yehuda pracovat jako dokumentátor?;Co Lenka považuje za největší výhodu open source?;Proč si Mirek vybral práci dokumentátora?;Co se Lucce nejvíc líbí na dokumentačním týmu v Brně?
Protože už si zvykl.;Moskva;grafik;Je tady příjemné pracovní prostředí.;Dvacet metrů od svého stolu má kávovar.;Zkouší uživatelský pohled na prázdnou obrazovku.;kapitán lodní dopravy;Baví ho informační technologie a angličtina.;Úplnou náhodou. Vůbec nevěděl, že se hlásí na tuto pozici.;Uživatelé to mají zdarma.;Rád testuje nové věci a píše o nich.;Red Hat je dostatečně daleko od její předchozí firmy.
Protože vytváří rovnováhu mezi uživateli a tvůrci.;Moskva;tvůrce mapových dat pro OpenStreetMap;Je tady příjemné pracovní prostředí.;Dostává peníze za to, že se učí nové věci.;Instaluje OpenStack.;kapitán lodní dopravy;Pracuje tu s chytrými lidmi.;Úplnou náhodou. Vůbec nevěděl, že se hlásí na tuto pozici.;Spolupráce přinese vždycky víc užitku než konkurenční boje.;Rád testuje nové věci a píše o nich.;Každý člen je úplně jiný a tím zajímavý.
Protože za programy nemusí platit.;Moskva;tvůrce mapových dat pro OpenStreetMap;Mnozí kolegové jsou filmoví fanoušci, stejně jako on.;Dvacet metrů od svého stolu má kávovar.;Předstírá, že nic nedělá, aby to na fotce dobře vypadalo.;průvodce na zámku;Práci mu domluvila maminka.;Práci mu sehnal tatínek.;Spolupráce přinese vždycky víc užitku než konkurenční boje.;Přesvědčil ho kamarád, který chtěl dostat náborový bonus.;Každý člen je úplně jiný a tím zajímavý.
Protože svou ženu poznal na konferenci o Mandrake Linuxu.;Norwich;grafik;Je tady příjemné pracovní prostředí.;Dvacet metrů od svého stolu má kávovar.;Předstírá, že nic nedělá, aby to na fotce dobře vypadalo.;kapitán lodní dopravy;Baví ho informační technologie a angličtina.;Úplnou náhodou. Vůbec nevěděl, že se hlásí na tuto pozici.;Uživatelé to mají zdarma.;Přesvědčil ho kamarád, který chtěl dostat náborový bonus.;Red Hat je dostatečně daleko od její předchozí firmy.
Protože za programy nemusí platit.;Norwich;grafik;Mnozí kolegové jsou filmoví fanoušci, stejně jako on.;Má rád lingvistiku a technologie a může to propojit.;Předstírá, že nic nedělá, aby to na fotce dobře vypadalo.;kapitán lodní dopravy;Práci mu domluvila maminka.;Připadalo mu zajímavé mít manažera v České republice.;Spolupráce přinese vždycky víc užitku než konkurenční boje.;Rád testuje nové věci a píše o nich.;Red Hat je dostatečně daleko od její předchozí firmy.
Protože svou ženu poznal na konferenci o Mandrake Linuxu.;Moskva;grafik;Firma je postavená na zásadách open source.;Dvacet metrů od svého stolu má kávovar.;Zkouší uživatelský pohled na prázdnou obrazovku.;překladatel;Práci mu domluvila maminka.;Úplnou náhodou. Vůbec nevěděl, že se hlásí na tuto pozici.;"Technologie se rychleji rozvíjí, když je ""otevřená"".";Nemá talent na programování, ale může se věnovat počítačům.;Red Hat je dostatečně daleko od její předchozí firmy.
Protože vytváří rovnováhu mezi uživateli a tvůrci.;Norwich;grafik;Je tady příjemné pracovní prostředí.;Má rád lingvistiku a technologie a může to propojit.;Zkouší uživatelský pohled na prázdnou obrazovku.;nevím;Baví ho informační technologie a angličtina.;Připadalo mu zajímavé mít manažera v České republice.;Spolupráce přinese vždycky víc užitku než konkurenční boje.;Rád testuje nové věci a píše o nich.;V týmu je rovnováha mezi muži a ženami.
Protože vytváří rovnováhu mezi uživateli a tvůrci.;Moskva;tvůrce mapových dat pro OpenStreetMap;Firma je postavená na zásadách open source.;Má rád lingvistiku a technologie a může to propojit.;Předstírá, že nic nedělá, aby to na fotce dobře vypadalo.;nevím;Baví ho informační technologie a angličtina.;Byl to jeho sen už od základní školy.;Polovinu práce za ni v podstatě udělá někdo jiný.;Rád testuje nové věci a píše o nich.;Většina kolegů je bez závazků.
nevím;Zlaté Hory;učitel angličtiny ve zvláštní škole;Mnozí kolegové jsou filmoví fanoušci, stejně jako on.;Dvacet metrů od svého stolu má kávovar.;;nevím;Práci mu domluvila maminka.;Úplnou náhodou. Vůbec nevěděl, že se hlásí na tuto pozici.;Polovinu práce za ni v podstatě udělá někdo jiný.;Rád testuje nové věci a píše o nich.;Každý člen je úplně jiný a tím zajímavý.
Protože vytváří rovnováhu mezi uživateli a tvůrci.;Moskva;grafik;Firma je postavená na zásadách open source.;Má rád lingvistiku a technologie a může to propojit.;Předstírá, že nic nedělá, aby to na fotce dobře vypadalo.;nevím;Baví ho informační technologie a angličtina.;Úplnou náhodou. Vůbec nevěděl, že se hlásí na tuto pozici.;"Technologie se rychleji rozvíjí, když je ""otevřená"".";Rád testuje nové věci a píše o nich.;V týmu je rovnováha mezi muži a ženami.
