Testovací otázka: Kterou barvu máte nejradši?;Koupili byste si počítač úplně nového, technologicky převratného typu?;Koupili jste počítač. Po zapnutí vidíte pouze černou obrazovku. Co uděláte?;Čtete návody k použití?;Chtěli byste, aby se výrobek prodával bez návodu, ale byl levnější?;Jaký je mezinárodní (anglický) název profese člověka, který píše návody a další dokumentaci?;"Jak se ""technical writer"" řekne správně česky?";Co podle vás dokumentátor NEpíše?;Jaká především by měla být dobrá dokumentace?;Jaká by dokumentace naopak být NEměla?;Jakou nejdůležitější vlastnost by měl mít dobrý dokumentátor?;Zkuste uhodnout, kolik dokumentátorů je v brněnském Red Hatu.;Uhodněte, ze kterých končin NEpochází žádný náš kolega.;Uhodněte, kterou profesi nikdo z našeho týmu NEdělal.;Jaké je složení brněnského dokumentačního týmu?;Která z následujících výhod práce dokumentátora by pro vás byla nejpřitažlivější?;Která z nevýhod práce dokumentátora by vám naopak nejvíc vadila?;Práce v Red Hatu obecně má své výhody. Která by se nejvíc líbila vám?;Uhodnete, co není součástí přijímacích pohovorů na pozici dokumentátora v Red Hatu?;Jaký vystudovaný obor se hodí, kdybyste chtěli pracovat jako dokumentátoři?
modrou;Ano, rozhodně.;Podívám se do návodu a zkusím situaci vyřešit.;Ne. Co potřebuju, na to si vždycky přijdu vlastními silami.;Určitě ne. Najdu tam i funkce, o kterých se jinak nedozvím.;Technical Writer;autor technické dokumentace;reklamní články;přehledná;plná ujištění, že na tom není nic těžkého;schopnost pracovat s informacemi;méně než 30;Bulharsko;meteorolog;Počty jsou zhruba vyrovnané.;Dostane se k nejnovějším technologiím.;Musí se pořád učit něco nového.;Tramvaj zastavuje přímo před budovou.;test z Linuxu;angličtina
zelenou;Ano, rozhodně.;Nebudu dělat nic. Počkám, co se stane.;Ano, ale napřed zkouším metodu pokus-omyl.;Spíš ne. Jsou situace, kdy se může hodit.;Technical Writer;autor technické dokumentace;referenční příručky;přehledná;plná ujištění, že na tom není nic těžkého;schopnost pracovat s informacemi;méně než 30;Bulharsko;meteorolog;V týmu je převaha žen.;Dostane se k nejnovějším technologiím.;;Firma uplatňuje principy open source.;test z Linuxu;počítačová lingvistika
modrou;Ano, ale jen pokud mám někoho, kdo mi s tím pomůže a poradí.;Podívám se do návodu a zkusím situaci vyřešit.;Ano, ale napřed zkouším metodu pokus-omyl.;Spíš ne. Jsou situace, kdy se může hodit.;Technical Writer;autor technické dokumentace;blogy;přehledná;plná ujištění, že na tom není nic těžkého;talent na psaní;méně než 30;Bulharsko;taxikář;Počty jsou zhruba vyrovnané.;Má nadprůměrný plat.;;Stravenky, kafe, svačiny, masáže, kulečník, PlayStation 4...;test ze psaní všemi deseti;informatika
žlutou;Ano, rozhodně.;Nebudu dělat nic. Počkám, co se stane.;Ano, ale napřed zkouším metodu pokus-omyl.;Spíš ne. Jsou situace, kdy se může hodit.;Technical Writer;autor technické dokumentace;reklamní články;technicky správná;plná ujištění, že na tom není nic těžkého;schopnost pracovat s informacemi;méně než 20;Bulharsko;ladič pian;Na pohlaví nezáleží!;Dostane se k nejnovějším technologiím.;Je to nezdravé sedavé zaměstnání.;Stravenky, kafe, svačiny, masáže, kulečník, PlayStation 4...;test z Linuxu;angličtina
zelenou;Ano, ale jen pokud mám někoho, kdo mi s tím pomůže a poradí.;Podívám se do návodu a zkusím situaci vyřešit.;Vždycky. Chci vědět, co to všechno umí.;Spíš ne. Jsou situace, kdy se může hodit.;Technical Writer;technický písař;reklamní články;technicky správná;plná ujištění, že na tom není nic těžkého;schopnost pracovat s informacemi;méně než 20;Řecko;ladič pian;Počty jsou zhruba vyrovnané.;Dostane se k nejnovějším technologiím.;;Jeden den v týdnu je možné pracovat z domu.;test ze psaní všemi deseti;počítačová lingvistika
modrou;Ano, rozhodně.;Podívám se do návodu a zkusím situaci vyřešit.;Ano, ale napřed zkouším metodu pokus-omyl.;Spíš ne. Jsou situace, kdy se může hodit.;Technical Writer;dokumentátor;reklamní články;technicky správná;plná ujištění, že na tom není nic těžkého;schopnost pracovat s informacemi;méně než 30;Řecko;meteorolog;Na pohlaví nezáleží!;Dostane se k nejnovějším technologiím.;Je to méně důležitá pozice než programátor.;Stravenky, kafe, svačiny, masáže, kulečník, PlayStation 4...;test ze psaní všemi deseti;angličtina
červenou;Ano, ale jen pokud mám někoho, kdo mi s tím pomůže a poradí.;Zeptám se strejdy Googla.;Ano, ale napřed zkouším metodu pokus-omyl.;Spíš ne. Jsou situace, kdy se může hodit.;Technical Writer;autor technické dokumentace;reklamní články;technicky správná;plná ujištění, že na tom není nic těžkého;schopnost komunikovat s lidmi;méně než 30;Bulharsko;meteorolog;V týmu je převaha mužů.;Dostane se k nejnovějším technologiím.;Musí se pořád učit něco nového.;Tramvaj zastavuje přímo před budovou.;test ze psaní všemi deseti;počítačová lingvistika
zelenou;Ne. Úplně nová  a nevyzkoušená technologie mě neláká.;Podívám se do návodu a zkusím situaci vyřešit.;Ano, ale napřed zkouším metodu pokus-omyl.;Spíš ano. Obvykle se v návodu stejně nedozvím nic nového.;Technical Writer;dokumentarista;;přehledná;plná ujištění, že na tom není nic těžkého;schopnost pracovat s informacemi;méně než 10;Bulharsko;ladič pian;Na pohlaví nezáleží!;Má nadprůměrný plat.;Je to nezdravé sedavé zaměstnání.;Stravenky, kafe, svačiny, masáže, kulečník, PlayStation 4...;test z Linuxu;média a marketing
zelenou;Ano, rozhodně.;Zeptám se strejdy Googla.;Ano, ale napřed zkouším metodu pokus-omyl.;Ano. Návody nejsou k ničemu.;Technical Writer;autor technické dokumentace;reklamní články;přehledná;plná ujištění, že na tom není nic těžkého;schopnost pracovat s informacemi;méně než 30;Rusko;ladič pian;Počty jsou zhruba vyrovnané.;Spolupracuje s inteligentními lidmi.;Je to méně důležitá pozice než programátor.;Stravenky, kafe, svačiny, masáže, kulečník, PlayStation 4...;test ze psaní všemi deseti;počítačová lingvistika
modrou;Ano, rozhodně.;Podívám se do návodu a zkusím situaci vyřešit.;;Určitě ne. Najdu tam i funkce, o kterých se jinak nedozvím.;Technical Writer;autor technické dokumentace;reklamní články;technicky správná;plná ujištění, že na tom není nic těžkého;schopnost pracovat s informacemi;méně než 30;Řecko;ladič pian;Počty jsou zhruba vyrovnané.;Dostane se k nejnovějším technologiím.;Je to nezdravé sedavé zaměstnání.;;test ze psaní všemi deseti;počítačová lingvistika
